"trial","deckA","deckB","deckC","deckD","wins","losses","subjID","deck","net"
140,0,1,0,0,100,0,"04",2,100
141,0,1,0,0,100,0,"04",2,100
142,0,1,0,0,100,0,"04",2,100
143,0,1,0,0,100,0,"04",2,100
144,0,1,0,0,100,0,"04",2,100
145,0,1,0,0,100,-1250,"04",2,-1150
146,0,1,0,0,100,0,"04",2,100
147,0,1,0,0,100,0,"04",2,100
148,0,1,0,0,100,0,"04",2,100
149,0,1,0,0,100,0,"04",2,100
150,0,1,0,0,100,0,"04",2,100
1,0,0,1,0,50,-50,"05",3,0
2,0,1,0,0,100,0,"05",2,100
3,0,1,0,0,100,0,"05",2,100
4,0,1,0,0,100,0,"05",2,100
5,0,1,0,0,100,0,"05",2,100
6,0,1,0,0,100,0,"05",2,100
7,0,0,0,1,50,0,"05",4,50
8,1,0,0,0,100,0,"05",1,100
9,1,0,0,0,100,-150,"05",1,-50
10,0,1,0,0,100,0,"05",2,100
11,0,1,0,0,100,0,"05",2,100
12,0,1,0,0,100,0,"05",2,100
13,0,1,0,0,100,-1250,"05",2,-1150
14,0,0,0,1,50,0,"05",4,50
15,0,0,0,1,50,0,"05",4,50
16,0,0,1,0,50,0,"05",3,50
17,0,0,1,0,50,0,"05",3,50
18,0,1,0,0,100,0,"05",2,100
19,0,1,0,0,100,0,"05",2,100
20,0,1,0,0,100,0,"05",2,100
21,0,1,0,0,100,0,"05",2,100
22,0,1,0,0,100,0,"05",2,100
23,0,1,0,0,100,0,"05",2,100
24,0,1,0,0,100,0,"05",2,100
25,0,1,0,0,100,0,"05",2,100
26,0,1,0,0,100,-1250,"05",2,-1150
27,0,0,0,1,50,0,"05",4,50
28,0,0,0,1,50,-250,"05",4,-200
29,1,0,0,0,100,-300,"05",1,-200
30,0,1,0,0,100,0,"05",2,100
31,0,1,0,0,100,0,"05",2,100
32,0,1,0,0,100,0,"05",2,100
33,0,1,0,0,100,-1250,"05",2,-1150
34,0,0,0,1,50,0,"05",4,50
35,0,0,0,1,50,0,"05",4,50
36,0,0,0,1,50,0,"05",4,50
37,0,0,0,1,50,0,"05",4,50
38,0,0,0,1,50,0,"05",4,50
39,0,1,0,0,100,0,"05",2,100
40,0,1,0,0,100,0,"05",2,100
41,0,1,0,0,100,0,"05",2,100
42,0,0,0,1,50,-250,"05",4,-200
